sample_id,language,backdoor_type,stealth_level,complexity,scenario,has_backdoor,file_path,label_compact,split
bad_000406,cpp,logic_tamper,high,complex,asic,1,data/processed/dataset_v1/train/sample_000000.cpp,cpp_logic_tamper_high_complex_asic_1,train
bad_000298,cpp,data_exfiltration,medium,simple,asic,1,data/processed/dataset_v1/train/sample_000001.cpp,cpp_data_exfiltration_medium_simple_asic_1,train
clean_000053,vhdl,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000002.vhd,vhdl_none_none_simple_fpga_0,train
bad_000392,verilog,privilege_escalation,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000003.v,verilog_privilege_escalation_medium_complex_embedded_1,train
bad_000149,verilog,data_exfiltration,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000004.v,verilog_data_exfiltration_medium_complex_embedded_1,train
bad_000124,vhdl,instruction_hijack,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000005.vhd,vhdl_instruction_hijack_high_complex_embedded_1,train
clean_000295,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000006.vhd,vhdl_none_none_simple_embedded_0,train
clean_000026,cpp,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000007.cpp,cpp_none_none_complex_embedded_0,train
clean_000489,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000008.cpp,cpp_none_none_complex_mcu_0,train
clean_000213,c,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000009.c,c_none_none_simple_embedded_0,train
bad_000384,vhdl,privilege_escalation,medium,complex,fpga,1,data/processed/dataset_v1/train/sample_000010.vhd,vhdl_privilege_escalation_medium_complex_fpga_1,train
clean_000496,verilog,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000011.v,verilog_none_none_complex_embedded_0,train
clean_000010,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000012.cpp,cpp_none_none_simple_mcu_0,train
clean_000401,cpp,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000013.cpp,cpp_none_none_complex_fpga_0,train
bad_000370,cpp,instruction_hijack,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000014.cpp,cpp_instruction_hijack_high_complex_mcu_1,train
clean_000451,c,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000015.c,c_none_none_complex_asic_0,train
bad_000007,vhdl,instruction_hijack,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000016.vhd,vhdl_instruction_hijack_high_complex_embedded_1,train
clean_000480,verilog,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000017.v,verilog_none_none_complex_asic_0,train
clean_000437,verilog,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000018.v,verilog_none_none_complex_fpga_0,train
bad_000220,cpp,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000019.cpp,cpp_instruction_hijack_high_simple_mcu_1,train
clean_000097,verilog,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000020.v,verilog_none_none_complex_asic_0,train
clean_000079,cpp,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000021.cpp,cpp_none_none_simple_asic_0,train
bad_000028,cpp,data_exfiltration,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000022.cpp,cpp_data_exfiltration_medium_simple_fpga_1,train
clean_000481,verilog,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000023.v,verilog_none_none_simple_fpga_0,train
bad_000018,vhdl,data_exfiltration,medium,simple,asic,1,data/processed/dataset_v1/train/sample_000024.vhd,vhdl_data_exfiltration_medium_simple_asic_1,train
clean_000458,c,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000025.c,c_none_none_simple_asic_0,train
bad_000011,vhdl,data_exfiltration,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000026.vhd,vhdl_data_exfiltration_medium_simple_mcu_1,train
clean_000333,cpp,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000027.cpp,cpp_none_none_simple_asic_0,train
clean_000355,verilog,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000028.v,verilog_none_none_simple_embedded_0,train
bad_000480,verilog,instruction_hijack,high,simple,fpga,1,data/processed/dataset_v1/train/sample_000029.v,verilog_instruction_hijack_high_simple_fpga_1,train
bad_000291,c,privilege_escalation,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000030.c,c_privilege_escalation_medium_simple_fpga_1,train
bad_000185,c,data_exfiltration,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000031.c,c_data_exfiltration_medium_simple_embedded_1,train
bad_000119,vhdl,data_exfiltration,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000032.vhd,vhdl_data_exfiltration_medium_complex_mcu_1,train
bad_000087,verilog,instruction_hijack,high,simple,asic,1,data/processed/dataset_v1/train/sample_000033.v,verilog_instruction_hijack_high_simple_asic_1,train
clean_000127,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000034.vhd,vhdl_none_none_simple_embedded_0,train
clean_000206,vhdl,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000035.vhd,vhdl_none_none_complex_fpga_0,train
bad_000109,vhdl,logic_tamper,high,complex,fpga,1,data/processed/dataset_v1/train/sample_000036.vhd,vhdl_logic_tamper_high_complex_fpga_1,train
bad_000476,verilog,logic_tamper,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000037.v,verilog_logic_tamper_high_simple_mcu_1,train
bad_000488,cpp,privilege_escalation,medium,complex,fpga,1,data/processed/dataset_v1/train/sample_000038.cpp,cpp_privilege_escalation_medium_complex_fpga_1,train
clean_000341,verilog,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000039.v,verilog_none_none_complex_asic_0,train
clean_000150,vhdl,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000040.vhd,vhdl_none_none_complex_mcu_0,train
clean_000277,cpp,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000041.cpp,cpp_none_none_simple_asic_0,train
clean_000062,verilog,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000042.v,verilog_none_none_simple_asic_0,train
clean_000420,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000043.cpp,cpp_none_none_simple_mcu_0,train
bad_000468,cpp,data_exfiltration,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000044.cpp,cpp_data_exfiltration_medium_simple_mcu_1,train
clean_000454,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000045.cpp,cpp_none_none_simple_embedded_0,train
bad_000143,c,data_exfiltration,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000046.c,c_data_exfiltration_medium_complex_embedded_1,train
bad_000107,vhdl,privilege_escalation,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000047.vhd,vhdl_privilege_escalation_medium_complex_mcu_1,train
clean_000231,cpp,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000048.cpp,cpp_none_none_simple_asic_0,train
bad_000342,cpp,data_exfiltration,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000049.cpp,cpp_data_exfiltration_medium_complex_mcu_1,train
clean_000248,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000050.cpp,cpp_none_none_complex_mcu_0,train
bad_000159,cpp,logic_tamper,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000051.cpp,cpp_logic_tamper_high_complex_mcu_1,train
bad_000428,vhdl,data_exfiltration,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000052.vhd,vhdl_data_exfiltration_medium_complex_mcu_1,train
